id,name,acceptance_rate_transfer,min_credits_transfer,max_credits_accepted,residency_credits_required
138187,Brown University,7.2,28,60,60
110404,California Institute of Technology,6.2,0,0,216
211440,Carnegie Mellon University,5.6,0,0,0
190150,Columbia University,52.4,0,60,64
182670,Dartmouth College,0,0,68,72
166027,Harvard University,0.7,16,32,32
166683,Massachusetts Institute of Technology,2.4,0,0,0
186131,Princeton University,1.9,0,68,56
243744,Stanford University,1.6,0,90,90
160755,Tulane University,60.1,12,0,60
110635,UC Berkeley,25.6,60,70,60
110644,UC Davis,58.2,60,70,35
110653,UC Irvine,39.9,30,70,36
110662,UCLA,22.8,60,70,0
110671,UC Riverside,58.4,60,70,36
110680,UC San Diego,54.6,60,106,68
110705,UC Santa Barbara,61.7,60,70,35
110714,UC Santa Cruz,64.4,60,70,35
170976,University of Michigan,34.9,0,60,60
199120,UNC Chapel Hill,36.5,15,75,45
215062,UPenn,3.2,0,64,64
123961,USC,21.6,0,64,64
228778,UT Austin,30.0,0,0,60
221999,Vanderbilt University,21.8,0,0,0
130794,Yale University,1.5,0,72,0
