id,name,state,location,type,acceptance_rate_transfer,avg_gpa_transfer,undergrad_population,tuition_in_state,tuition_out_of_state,app_fee,is_need_blind,max_credits_accepted,residency_credits_required,popular_majors,transfer_info_link,apply_link,school_url,accepts_transfer_summer,accepts_transfer_winter,min_gpa,min_credits_required,accepts_fall,accepts_spring,in_state_min_GPA,lowest_letter_grade_for_credit,fall-closing-date,spring-closing-date,fall-notification-date,spring-notification-date
204796,Ohio State University-Main Campus,OH,Columbus,Public,0.863,,45638,13244,40022,60,false,,30,"[""Business"", ""Engineering"", ""Health & Medicine"", ""Biology"", ""Social Sciences""]",https://undergrad.osu.edu/apply/transfer,https://undergrad.osu.edu/apply/transfer,https://www.osu.edu/,true,false,2.0,,true,true,,C,5/15,11/1,,
186380,Rutgers University-New Brunswick,NJ,New Brunswick,Public,0.5757,,37751,17929,37441,70,false,60,,"[""Business"", ""Computer Science"", ""Engineering"", ""Health & Medicine"", ""Biology""]",https://admissions.rutgers.edu/transfer-students,https://admissions.rutgers.edu/transfer-students,https://newbrunswick.rutgers.edu/,true,true,,,true,true,,,2/1,10/1,4/15,12/1
179867,Washington University in St Louis,MO,St. Louis,Private Non-Profit,0.1401,,7857,65790,65790,75,false,60,,"[""Engineering"", ""Biology"", ""Social Sciences"", ""Computer Science"", ""Business""]",https://admissions.wustl.edu/how-to-apply/transfer-applicants/,https://admissions.wustl.edu/how-to-apply/transfer-applicants/,https://washu.edu/,true,true,,12,true,true,,C,March 2,October 15,May 15,November 14
164924,Boston College,MA,Chestnut Hill,Private Non-Profit,0.277,,10085,70702,70702,80,false,,,"[""Business"", ""Social Sciences"", ""Biology"", ""Psychology"", ""Computer Science""]",https://www.bc.edu/bc-web/admission/apply/transfer.html,https://www.bc.edu/bc-web/admission/apply/transfer.html,https://www.bc.edu/,true,false,,,true,true,,,March 15,November 1,May 20,December 15
164988,Boston University,MA,Boston,Private Non-Profit,0.346,3.78,18248,68102,68102,80,false,68,,"[""Business"", ""Social Sciences"", ""Biology"", ""Computer Science"", ""Engineering""]",https://www.bu.edu/admissions/apply/transfer/,https://www.bu.edu/admissions/apply/transfer/,https://www.bu.edu/,false,false,,,true,true,,C,3/15,11/1,Mid April,Mid November to Mid December
217156,Brown University,RI,Providence,Private Non-Profit,0.072,,7226,71412,71412,75,false,60,60,"[""Social Sciences"", ""Computer Science"", ""Biology"", ""Engineering"", ""Psychology""]",https://admission.brown.edu/transfer,https://admission.brown.edu/transfer,https://www.brown.edu/,false,true,,28,true,true,,,03/01,10/01,May,Early December
110404,California Institute of Technology,CA,Pasadena,Private Non-Profit,0.062,,987,65898,65898,75,false,,216,"[""Computer Science"", ""Engineering"", ""Biology"", ""Business""]",https://www.admissions.caltech.edu/apply/transfer-applicants,https://www.admissions.caltech.edu/apply/transfer-applicants,https://www.caltech.edu/,false,false,,,true,false,,,February 1,,Mid-April,
211440,Carnegie Mellon University,PA,Pittsburgh,Private Non-Profit,0.0557,,7304,66246,66246,75,false,,,"[""Engineering"", ""Computer Science"", ""Business"", ""Social Sciences"", ""Biology""]",https://www.cmu.edu/admission/admission/transfer-applicants,https://www.cmu.edu/admission/admission/transfer-applicants,https://www.cmu.edu/,false,true,,,true,true,,,February 15,October 15,,December 15
190150,Columbia University,NY,New York,Private Non-Profit,0.5241,,8973,71845,71845,80,false,60,64,"[""Social Sciences"", ""Computer Science"", ""Engineering"", ""Biology"", ""Psychology""]",https://undergrad.admissions.columbia.edu/apply/transfer,https://undergrad.admissions.columbia.edu/apply/transfer,https://www.columbia.edu/,false,true,,,true,true,,,January 15,September 1,May 15,November 1
190415,Cornell University,NY,Ithaca,Private Non-Profit,0.0928,,15995,69314,69314,80,false,60,60,"[""Computer Science"", ""Business"", ""Engineering"", ""Biology"", ""Social Sciences""]",https://admissions.cornell.edu/apply/transfer-applicants,https://admissions.cornell.edu/apply/transfer-applicants,https://www.cornell.edu/,false,false,,12,true,false,,C,3/15,,6/15,
182670,Dartmouth College,NH,Hanover,Private Non-Profit,0.0665,,4541,68268,68268,90,false,68,72,"[""Social Sciences"", ""Engineering"", ""Computer Science"", ""Biology"", ""Psychology""]",https://admissions.dartmouth.edu/glossary-question/transfer-applicants,https://admissions.dartmouth.edu/glossary-question/transfer-applicants,https://dartmouth.edu/,true,false,,,true,false,,,3/1,,5/15,
198419,Duke University,NC,Durham,Private Non-Profit,0.0403,,6442,68758,68758,85,false,17,17,"[""Social Sciences"", ""Biology"", ""Computer Science"", ""Engineering"", ""Health & Medicine""]",https://admissions.duke.edu/apply/,https://admissions.duke.edu/apply/,https://www.duke.edu/,false,false,2.4,,false,false,,C,3/15,,5/15,
139658,Emory University,GA,Atlanta,Private Non-Profit,0.162,,7298,64280,64280,75,false,,,"[""Business"", ""Biology"", ""Social Sciences"", ""Health & Medicine"", ""Psychology""]",https://apply.emory.edu/apply/transfer.html,https://apply.emory.edu/apply/transfer.html,https://www.emory.edu/,true,false,3.0,,true,false,,,3/15,,5/1,
131496,Georgetown University,DC,Washington,Private Non-Profit,0.0593,,7569,68017,68017,75,false,,,"[""Social Sciences"", ""Business"", ""Biology"", ""Health & Medicine"", ""Psychology""]",https://uadmissions.georgetown.edu/applying/transfer/,https://uadmissions.georgetown.edu/applying/transfer/,https://www.georgetown.edu/,true,true,3.0,,true,true,,,3/1,3/1,6/1,6/1
139755,Georgia Institute of Technology-Main Campus,GA,Atlanta,Public,0.2067,,18785,12058,34484,75,false,,,"[""Engineering"", ""Computer Science"", ""Business"", ""Biology"", ""Social Sciences""]",https://admission.gatech.edu/transfer/,https://admission.gatech.edu/transfer/,https://www.gatech.edu/,true,true,3.0,30,true,true,,,1/20,8/1,3/3,9/16
166027,Harvard University,MA,Cambridge,Private Non-Profit,0.0071,,7601,61676,61676,85,false,32,32,"[""Social Sciences"", ""Biology"", ""Computer Science"", ""Engineering"", ""Psychology""]",https://college.harvard.edu/admissions/apply/transfer-applicants,https://college.harvard.edu/admissions/apply/transfer-applicants,https://www.harvard.edu/,true,false,,16,,false,,C,3/1,,6/15,
162928,Johns Hopkins University,MD,Baltimore,Private Non-Profit,0.0527,,5693,65230,65230,70,false,,,"[""Biology"", ""Engineering"", ""Computer Science"", ""Social Sciences"", ""Health & Medicine""]",https://apply.jhu.edu/transfer-applicants/,https://apply.jhu.edu/transfer-applicants/,https://www.jhu.edu/,true,false,3.0,12,true,false,,,3/1,,5/13,
166683,Massachusetts Institute of Technology,MA,Cambridge,Private Non-Profit,0.0238,,4535,62396,62396,75,false,,,"[""Engineering"", ""Computer Science"", ""Biology"", ""Business"", ""Social Sciences""]",https://mitadmissions.org/apply/transfer/,https://mitadmissions.org/apply/transfer/,https://web.mit.edu/,false,false,,,true,true,,B,May,10/15,5/4,11/15
193900,New York University,NY,New York,Private Non-Profit,0.2209,,28663,62796,62796,85,false,,,"[""Social Sciences"", ""Business"", ""Computer Science"", ""Health & Medicine"", ""Psychology""]",https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/transfer-applicants.html,https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/transfer-applicants.html,https://www.nyu.edu/,true,true,,,true,true,,,3/15,10/15,May,
147767,Northwestern University,IL,Evanston,Private Non-Profit,0.1197,,9201,68322,68322,75,false,48,23,"[""Engineering"", ""Social Sciences"", ""Biology"", ""Computer Science"", ""Psychology""]",https://admissions.northwestern.edu/apply/transfer/,https://admissions.northwestern.edu/apply/transfer/,https://www.northwestern.edu/,false,false,,24,true,,,,3/15,,,
