id,name,source_file,section_d_found,applicants,admitted,enrolled,acceptance_rate_percent,notes
204796,Ohio State University-Main Campus,Common_Data_Sets_2025/2023-24 Ohio State University.pdf,True,3774,3257,1835,86.3,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
186380,Rutgers University-New Brunswick,Common_Data_Sets_2025/2023-24 Rutgers University-New Brunswick.pdf,True,7214,4153,2132,57.57,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
179867,Washington University in St Louis,Common_Data_Sets_2025/2024-2025-WashU-CDS.pdf,True,1706,239,99,14.01,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
164924,Boston College,Common_Data_Sets_2025/2024-25 Boston College.pdf,True,1480,410,181,27.7,"Official Boston College transfer page deadline fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
164988,Boston University,Common_Data_Sets_2025/2024-25 Boston University.pdf,True,6729,2328,915,34.6,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
217156,Brown University,Common_Data_Sets_2025/2024-25 Brown University.pdf,True,2987,215,145,7.2,"Used legacy CDS.txt minimum credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
110404,California Institute of Technology,Common_Data_Sets_2025/2024-25 California Institute of Technology.pdf,True,,,,6.2,"Could not confidently parse D2 applicants/admitted/enrolled.; Used legacy CDS.txt acceptance rate fallback.; Used legacy CDS.txt residency credits fallback.; Official Caltech transfer deadlines page fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
211440,Carnegie Mellon University,Common_Data_Sets_2025/2024-25 Carnegie Mellon University.pdf,True,1688,94,37,5.57,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
190150,Columbia University,Common_Data_Sets_2025/2024-25 Columbia University.pdf,True,1330,697,410,52.41,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
190415,Cornell University,Common_Data_Sets_2025/2024-25 Cornell University.pdf,True,7218,670,503,9.28,"Could not confidently parse D2 applicants/admitted/enrolled.; Parsed AcroForm transfer totals. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
182670,Dartmouth College,Common_Data_Sets_2025/2024-25 Dartmouth College.pdf,True,932,62,32,6.65,"Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
198419,Duke University,Common_Data_Sets_2025/2024-25 Duke University.pdf,True,2285,92,52,4.03,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
139658,Emory University,Common_Data_Sets_2025/2024-25 Emory University.pdf,True,2445,396,141,16.2,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
131496,Georgetown University,Common_Data_Sets_2025/2024-25 Georgetown University.pdf,True,2278,135,85,5.93,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
139755,Georgia Institute of Technology-Main Campus,Common_Data_Sets_2025/2024-25 Georgia Institute of Technology.pdf,True,4093,846,723,20.67,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
166027,Harvard University,Common_Data_Sets_2025/2024-25 Harvard University.pdf,True,2256,16,13,0.71,"Used legacy CDS.txt minimum credits fallback.; Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
162928,Johns Hopkins University,Common_Data_Sets_2025/2024-25 Johns Hopkins University.pdf,True,2370,125,69,5.27,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
166683,Massachusetts Institute of Technology,Common_Data_Sets_2025/2024-25 Massachusetts Institute of Technology.xlsx.pdf,True,1346,32,28,2.38,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
193900,New York University,Common_Data_Sets_2025/2024-25 New York University.pdf,True,10155,2243,989,22.09,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
147767,Northwestern University,Common_Data_Sets_2025/2024-25 Northwestern University.pdf,True,4045,484,277,11.97,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
186131,Princeton University,Common_Data_Sets_2025/2024-25 Princeton.pdf,True,1985,38,36,1.91,"Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
227757,Rice University,Common_Data_Sets_2025/2024-25 Rice University.pdf,True,1473,102,60,6.92,"Official Rice transfer applicants page fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
243744,Stanford University,Common_Data_Sets_2025/2024-25 Stanford University.pdf,True,,,,1.6,"Could not confidently parse D2 applicants/admitted/enrolled.; Used legacy CDS.txt acceptance rate fallback.; Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
168148,Tufts University,Common_Data_Sets_2025/2024-25 Tufts University.pdf,True,1610,342,118,21.24,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
